제목,번역,날짜,페이지,가격
"STEM CookBook, 문제 해결력을 키우는 기계설계",-,2022-08-05,680,34000
경영분석(6판),-,2022-07-22,556,36000
"IT CookBook, 기초부터 시작하는 PLC : OMRON NX",-,2022-07-18,636,32000
"IT CookBook, 원리로 이해하는 전력전자공학(2판)",-,2022-07-11,588,30000
"IT CookBook, TCP/IP 소켓 프로그래밍(2판)",-,2022-06-30,600,32000
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크(3판)",-,2022-06-30,676,30000
"IT CookBook, 우분투 리눅스(3판)",-,2022-06-30,800,34000
거시경제학(3판),-,2022-06-30,640,36000
실용적 접근 방식의 경영학원론(10판),김안드레아,2022-06-30,800,39000
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍(4판)",-,2022-06-26,432,23000
"IT CookBook, 인터넷 해킹과 보안(4판)",-,2022-06-25,456,29000
"IT CookBook, 파이썬 데이터 분석 for Beginner",-,2022-06-23,504,28000
"IT CookBook, 엑셀 2019",-,2022-06-20,456,20000
"IT CookBook, 소프트웨어 공학 이론과 실제",-,2022-06-10,528,33000
공학도라면 반드시 알아야 할 최소한의 수학(8판),이재원,2022-06-10,432,25000
"IT CookBook, UI/UX 디자인 이론과 실무 with 어도비 XD",-,2022-05-20,512,30000
"STEM@CookBook, 공학 기초수학(2판)",-,2022-05-02,484,22000
"STEM@CookBook, Beer의 정역학과 재료역학(3판)","김경식 , 박재균 , 오창국 , 이정휘",2022-03-22,772,39000
STEIN 푸리에 해석학,"한빛수학교재연구소 , 이상혁(감수)",2022-03-18,348,38000
미분적분학 : 기초부터 응용까지,-,2022-03-04,680,35000
인공지능 시대의 문화기술,-,2022-03-02,444,22000
재무회계 with IFRS,윤현철,2022-03-02,784,44000
상법강의,-,2022-02-28,748,45000
소비자 행동론 제 13판,"황장선 , 이지은 , 전승우 , 최자영",2022-02-21,632,39000
파이썬으로 시작하는 컴퓨터 프로그래밍,-,2022-02-21,432,25000
STEIN 복소해석학,"김영원(감수) , 한빛수학교재연구소",2022-02-10,420,36000
운영관리(13판),"김민균 , 김상기 , 박상찬 , 최대헌",2022-02-10,936,42000
"STEM CookBook, 문제 해결력을 키우는 동역학",-,2022-01-29,456,32000
"IT CookBook, 디지털 신호 처리(2판)",-,2022-01-28,668,33000
조직행동론(3판),김안드레아,2022-01-28,784,38000
ISE Business Statistics: Communicating with Numbers [4th Edition],-,2022-01-26,800,50000
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(7판)",-,2022-01-22,580,33000
"IT CookBook, 원리로 이해하는 무선공학",-,2022-01-22,624,32000
"IT CookBook, 실전에 강한 드론 제작과 정비 : 이론부터 실무까지",-,2022-01-20,380,28000
"IT CookBook, 쉽게 배우는 자료구조 with 자바",-,2022-01-16,500,29000
"IT CookBook, 쉽게 배우는 자료구조 with 파이썬",-,2022-01-16,448,29000
"IT CookBook, 데이터베이스 개론(3판)",-,2022-01-15,552,29000
"IT CookBook, 디지털 논리회로 실험(2판)",-,2022-01-15,468,25000
"IT CookBook, 디지털 논리회로(4판)",-,2022-01-15,816,32000
"Case, Fair, Oster의 경제학원론","박원규 , 이상규",2022-01-03,800,39000
"IT CookBook, C 언어 for Beginner 4판",-,2022-01-03,536,26000
"IT CookBook, 가상현실의 이해",-,2022-01-03,288,22000
"IT CookBook, 난생처음 C 언어 프로그래밍",-,2022-01-03,540,25000
"IT CookBook, 데이터 과학을 위한 파이썬 머신러닝",-,2022-01-03,508,30000
"IT CookBook, 엑셀과 파워포인트 2019",-,2022-01-03,548,23000
"IT CookBook, 자바스크립트 프로그래밍 입문(2판)",-,2022-01-03,512,27000
"IT CookBook, 파이썬 for Beginner(3판)",-,2022-01-03,524,25000
기본 재무관리(제5판),"선정훈 , 고광수 , 변진호",2021-12-31,912,42000
(개발자에게 필요 없는 수학은 없다) 프로그래머를 위한 수학,"노희준 , 박종태 , 박한길 , 신정규",2021-12-29,732,42000
"STEM CookBook, 컴퓨팅 사고력을 키우는 이산수학(3판)",-,2021-12-26,652,29000
공학도를 위한 수치해석(8판),"나양 , 이승배 , 임윤철",2021-11-30,600,36000
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",-,2021-10-29,556,26000
온톨로지 과학자를 위한 지식그래프,김학래,2021-10-29,544,45000
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",-,2021-10-15,552,28000
한번에 적용하는 분석,-,2021-10-08,356,24000
인공지능 논리 입문,-,2021-09-10,260,22000
"IT CookBook, 처음 만나는 전기기기(2판)",-,2021-08-31,328,24000
"IT CookBook, 현대 센서공학(5판)","김윤 , 김혁 , 박동욱",2021-08-27,688,35000
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍",-,2021-08-23,660,30000
미래조직을 위한 조직설계의 이해(4판),-,2021-08-13,292,22000
쉽게 배우고 익히는 회계원리(4판),-,2021-08-13,568,30000
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),-,2021-08-13,160,7000
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",-,2021-08-09,472,27000
데이터베이스 시스템(7판),"정연돈 , 권준호 , 김종욱 , 서영균 , 이동호",2021-08-05,1248,45000
비즈니스 애널리틱스,"장혜정 , 이상규 , 오세환 , 변종복",2021-07-20,704,38000
"STEM CookBook, 문제 해결력을 키우는 정역학",-,2021-07-16,460,30000
최신 관리회계,-,2021-07-10,460,28000
"IT CookBook, 처음 만나는 회로이론(2판)",-,2021-07-02,400,23000
안전필수 시스템 제어 설계,-,2021-07-02,488,38000
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",-,2021-06-30,624,29000
"IT CookBook, 디지털 콘텐츠 기획(2판)",-,2021-06-30,548,30000
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",-,2021-06-30,560,30000
"IT CookBook, 컴퓨터 구조와 원리 3.0",-,2021-06-30,580,29000
"IT CookBook, 난생처음 파이썬 프로그래밍",-,2021-06-28,428,24000
"IT CookBook, 정보 보안 개론(4판)",-,2021-06-28,568,30000
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명",-,2021-06-28,472,24000
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",한빛수학교재연구소,2021-06-28,580,32000
"STEM CookBook, 해석학 첫걸음","한빛수학교재연구소 , 김세익(감수)",2021-06-28,384,26000
"IT CookBook, 익스플로링 아두이노(2판)",허경용,2021-06-21,480,32000
"IT CookBook, 난생처음 인공지능 입문",-,2021-06-18,428,25000
제대로 작성하는 논문 : 시작부터 마무리까지,-,2021-06-14,288,20000
수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,-,2021-06-10,416,22000
"STEM CookBook, 기초 선형대수학(2판)",-,2021-06-07,440,26000
"STEM CookBook, 이공계생을 위한 확률과 통계(2판)",-,2021-06-07,448,25000
"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",-,2021-05-31,432,24000
"IT CookBook, 컴퓨터 활용과 실습 2019",-,2021-05-24,572,25000
누워서 읽는 통계학,권기태,2021-04-09,388,19800
만만한 통계 : R 활용,김재경,2021-04-01,500,28000
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),-,2021-03-07,512,27000
한글처럼 쉬운 중국어,-,2021-03-05,156,18000
회계원리,-,2021-03-05,332,23000
알기쉬운 회계원리의 기초(3판),-,2021-02-25,404,26000
최신 원가회계,-,2021-02-25,444,28000
"IT CookBook, C 언어 일취월장(2판)",-,2021-02-24,800,28000
소비자행동,-,2021-02-23,660,35000
"Numerical Methods for Engineers, 8th Edition",-,2021-02-18,1008,45000
"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습(2판)",-,2021-02-10,604,29000
"IT CookBook, 손에 잡히는 데이터 통신",-,2021-01-23,572,29000
"IT CookBook, 파이썬 자료구조와 알고리즘 for Beginner",-,2021-01-23,520,27000
"STEM CookBook, 대학물리학(5판)",김용은 외,2021-01-20,1464,43000
"STEM CookBook, 재료역학(2판)","정광영 , 김형종 , 마정범 , 최정호 , 홍석무",2021-01-20,840,38000
창업을 디자인하라(2판),-,2021-01-20,505,29000
"IT CookBook, 디지털 회로 실험 with PSpice",-,2021-01-15,396,22000
데이터 과학을 위한 기초수학 with 파이썬,-,2021-01-06,448,26000
미분적분학 : 대학수학의 첫걸음,-,2021-01-06,620,28000
제대로 시작하는 기초 통계학 : Excel 활용 (2판),-,2021-01-06,364,25000
친절한 미분적분학,"김광수 , 한빛수학교재연구소",2021-01-06,688,32000
"IT CookBook, 4차 산업혁명과 정보통신의 이해",-,2021-01-05,448,25000
"IT CookBook, C# 프로그래밍 2판",-,2021-01-05,580,26000
"IT CookBook, 게임 제작으로 배우는 유니티",-,2021-01-05,496,30000
"IT CookBook, 난생처음 R 코딩 & 데이터 분석",-,2021-01-05,496,25000
"IT CookBook, 난생처음 인공지능 with 스크래치",-,2021-01-05,364,23000
"IT CookBook, 난생처음 컴퓨팅 사고 with 파이썬",-,2021-01-05,460,23000
"IT CookBook, 초융합 시대의 멀티미디어와 콘텐츠",-,2021-01-05,516,29000
"IT CookBook, 파이썬으로 만드는 인공지능",-,2021-01-05,608,31000
"IT CookBook, 핵심이 보이는 전자기학",-,2021-01-04,548,28000
"Statics and Mechanics of Materials, 3rd Edition",-,2021-01-01,864,45000
"IT CookBook, 데이터 과학 기반의 파이썬 빅데이터 분석",-,2020-12-30,440,28000
"IT CookBook, 전자기학 : 풍부한 그림으로 형상화하여 이해하는 전자기학의 핵심",-,2020-12-17,688,38000
"IT CookBook, 쉽게 배우는 자바 프로그래밍 2판",-,2020-11-22,780,29000
포르잔 C++ 에센셜,윤인성,2020-11-10,756,32000
플랫폼 비즈니스를 위한 경영정보시스템,-,2020-10-20,522,29000
"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",-,2020-09-28,536,28000
뉴 머신시대의 기업가정신을 찾아서,-,2020-09-20,180,18000
세계화와 지역화 : 한국의 선택은?,-,2020-09-10,256,17000
포르잔 C++ 바이블,윤인성,2020-08-31,1192,45000
4차산업혁명시대의 창업실무,-,2020-08-26,468,28000
딥러닝을 위한 선형대수학,부산대학교 산업수학센터(FFMIMC),2020-08-05,560,38000
"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)",-,2020-07-30,600,29000
대학을 버려야 대학이 산다,-,2020-07-25,216,18000
"IT CookBook, 따라 하면서 배우는 사물인터넷",-,2020-07-23,448,28000
R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,권기태,2020-07-10,544,32000
창의적 공학설계(3판),-,2020-07-10,408,23000
공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,-,2020-07-06,484,23000
응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,-,2020-07-06,592,31000
"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",-,2020-06-30,504,29000
"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍",-,2020-06-20,772,30000
"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",-,2020-06-19,520,27000
"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍",-,2020-06-19,564,34000
"IT CookBook, 처음 만나는 신재생에너지",-,2020-06-10,388,25000
프리드버그 선형대수학,"한빛수학교재연구소 , 심형보(감수)",2020-06-05,616,35000
"IT CookBook, CentOS 리눅스",-,2020-05-30,792,32000
"Microeconomics, 6th Edition, Asia Edition",-,2020-05-01,856,49000
정서노동과 행복,-,2020-04-30,364,23000
누구나 파이썬 통계분석,권기태,2020-04-06,384,26000
4차산업혁명시대 신노사관계론,-,2020-03-25,592,30000
회계원리,-,2020-03-10,186,13000
제대로 배우는 MATLAB&Simulink,-,2020-03-05,576,29000
의료관광론,-,2020-03-01,348,25000
공학도를 위한 경영 : 4차 산업혁명 시대,-,2020-02-28,348,25000
EXCEL로 구현해 보는 행렬회계,-,2020-02-25,552,30000
벤처창업과 투자전략(개정판),-,2020-02-25,336,22000
최신 마케팅,-,2020-02-25,500,30000
"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",-,2020-02-21,408,24000
"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",-,2020-02-20,508,27000
"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed",송경희,2020-01-30,860,32000
처음 배우는 통계학,-,2020-01-20,404,27000
기초수학 : Basic Mathematics(2판),-,2020-01-10,312,20000
"IT CookBook, 4차 산업혁명 시대의 정보통신개론",-,2020-01-06,600,25000
"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",-,2020-01-06,552,27000
"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",-,2020-01-06,560,28000
"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용",-,2020-01-06,336,24000
"IT CookBook, 리눅스 실습 for Beginner",-,2020-01-06,488,24000
"IT CookBook, 비주얼 베이직 2019 입문",-,2020-01-06,436,25000
"IT CookBook, 스크래치로 배우는 컴퓨팅 사고",-,2020-01-06,384,21000
"IT CookBook, 엑셀로 배우는 데이터 분석",-,2020-01-06,480,21000
"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",-,2020-01-06,538,26000
NO BULLSHIT 선형대수학 가이드,"김대정 , 모현선 , 배준우",2020-01-06,628,28000
